Time,oriX,oriY,oriZ,accX,accY,accZ,magX,magY,magZ
29-03-2018_16:00:24, 2, 13, 2, 38, 178, 94, 87, 27, 97
29-03-2018_16:00:25, 12, 13, 1, 11, 103, 185, 45, 45, 63
29-03-2018_16:00:26, 2, 10, 10, 101, 166, 65, 119, 44, 109
29-03-2018_16:00:27, 3, 16, 15, 186, 152, 123, 28, 40, 14
29-03-2018_16:00:28, 16, 1, 1, 150, 141, 117, 43, 52, 74
29-03-2018_16:00:29, 17, 9, 13, 144, 180, 57, 66, 99, 78
29-03-2018_16:00:30, 7, 12, 5, 35, 144, 108, 99, 43, 26
29-03-2018_16:00:31, 15, 9, 6, 49, 51, 5, 95, 13, 120
29-03-2018_16:00:32, 2, 4, 7, 91, 156, 178, 39, 84, 88
29-03-2018_16:00:33, 2, 12, 3, 55, 76, 65, 68, 72, 58
29-03-2018_16:00:34, 1, 12, 15, 67, 60, 111, 1, 34, 56
29-03-2018_16:00:35, 8, 3, 2, 95, 116, 78, 106, 109, 57
29-03-2018_16:00:36, 12, 13, 14, 16, 0, 161, 72, 75, 94
29-03-2018_16:00:37, 12, 16, 15, 61, 149, 157, 22, 72, 27
29-03-2018_16:00:38, 10, 10, 0, 10, 164, 12, 14, 93, 79
29-03-2018_16:00:39, 13, 3, 0, 157, 95, 136, 53, 94, 85
29-03-2018_16:00:40, 10, 4, 14, 45, 39, 155, 16, 21, 42
29-03-2018_16:00:41, 14, 14, 8, 36, 43, 112, 116, 20, 54
29-03-2018_16:00:42, 11, 6, 15, 149, 103, 64, 15, 75, 64
29-03-2018_16:00:43, 3, 4, 11, 60, 109, 111, 12, 54, 81
29-03-2018_16:00:44, 9, 1, 13, 32, 22, 143, 107, 122, 60
29-03-2018_16:00:45, 8, 11, 2, 71, 15, 111, 33, 28, 55
29-03-2018_16:00:46, 8, 13, 7, 131, 58, 171, 99, 41, 53
29-03-2018_16:00:47, 0, 0, 10, 24, 97, 119, 12, 14, 3
29-03-2018_16:00:48, 1, 8, 4, 36, 135, 68, 16, 5, 36
29-03-2018_16:00:49, 0, 2, 11, 54, 38, 102, 72, 121, 15
29-03-2018_16:00:50, 5, 7, 12, 140, 84, 60, 96, 5, 113
29-03-2018_16:00:51, 16, 7, 8, 170, 184, 159, 105, 97, 65
29-03-2018_16:00:52, 16, 17, 0, 67, 97, 17, 79, 73, 102
29-03-2018_16:00:53, 9, 0, 6, 87, 22, 39, 109, 47, 30
